iter,block,param_type,value
0,0,ln1,0.010464262217283249
0,0,attn_qkv,0.5000864863395691
0,0,attn_proj,2.546189785003662
0,0,ln2,0.01136761624366045
0,0,mlp_fc,0.5618870854377747
0,0,mlp_proj,5.347330570220947
0,1,ln1,0.014756310731172562
0,1,attn_qkv,0.7133668065071106
0,1,attn_proj,3.53159236907959
0,1,ln2,0.0146555807441473
0,1,mlp_fc,0.7187983989715576
0,1,mlp_proj,4.4367265701293945
0,2,ln1,0.013081829994916916
0,2,attn_qkv,0.6680938005447388
0,2,attn_proj,3.3073291778564453
0,2,ln2,0.013005134649574757
0,2,mlp_fc,0.6874911189079285
0,2,mlp_proj,3.975478172302246
0,3,ln1,0.011779959313571453
0,3,attn_qkv,0.5858838558197021
0,3,attn_proj,2.7725067138671875
0,3,ln2,0.0124564403668046
0,3,mlp_fc,0.5906049609184265
0,3,mlp_proj,3.393221616744995
0,4,ln1,0.010165049694478512
0,4,attn_qkv,0.5042024850845337
0,4,attn_proj,2.508939027786255
0,4,ln2,0.010413644835352898
0,4,mlp_fc,0.5693215131759644
0,4,mlp_proj,3.1522395610809326
0,5,ln1,0.009679440408945084
0,5,attn_qkv,0.4794756770133972
0,5,attn_proj,2.4723026752471924
0,5,ln2,0.009534372016787529
0,5,mlp_fc,0.540222704410553
0,5,mlp_proj,2.876106023788452
0,6,ln1,0.008934971876442432
0,6,attn_qkv,0.4692108631134033
0,6,attn_proj,2.2332794666290283
0,6,ln2,0.009963826276361942
0,6,mlp_fc,0.4998795986175537
0,6,mlp_proj,2.6377830505371094
0,7,ln1,0.009387867525219917
0,7,attn_qkv,0.4542572796344757
0,7,attn_proj,2.0102226734161377
0,7,ln2,0.010322610847651958
0,7,mlp_fc,0.4714708626270294
0,7,mlp_proj,2.5405914783477783
0,8,ln1,0.008554340340197086
0,8,attn_qkv,0.4128274917602539
0,8,attn_proj,1.9995204210281372
0,8,ln2,0.008505228906869888
0,8,mlp_fc,0.439633846282959
0,8,mlp_proj,2.3436007499694824
0,9,ln1,0.008251192048192024
0,9,attn_qkv,0.3894534409046173
0,9,attn_proj,1.8870983123779297
0,9,ln2,0.00816943496465683
0,9,mlp_fc,0.4213966131210327
0,9,mlp_proj,2.2531983852386475
0,10,ln1,0.007461044006049633
0,10,attn_qkv,0.3656344413757324
0,10,attn_proj,1.8797940015792847
0,10,ln2,0.008242245763540268
0,10,mlp_fc,0.4103279411792755
0,10,mlp_proj,2.1822028160095215
0,11,ln1,0.007224583998322487
0,11,attn_qkv,0.35464391112327576
0,11,attn_proj,1.6562845706939697
0,11,ln2,0.007211736869066954
0,11,mlp_fc,0.3966793417930603
0,11,mlp_proj,2.110100507736206
100,0,ln1,0.0015328589361160994
100,0,attn_qkv,0.07556314021348953
100,0,attn_proj,0.36224308609962463
100,0,ln2,0.002053875708952546
100,0,mlp_fc,0.06799271702766418
100,0,mlp_proj,0.45121335983276367
100,1,ln1,0.0012408411130309105
100,1,attn_qkv,0.06116585060954094
100,1,attn_proj,0.28074803948402405
100,1,ln2,0.0015186265809461474
100,1,mlp_fc,0.054081596434116364
100,1,mlp_proj,0.2690356373786926
100,2,ln1,0.0008122090366668999
100,2,attn_qkv,0.03948373347520828
100,2,attn_proj,0.1730029135942459
100,2,ln2,0.001006501610390842
100,2,mlp_fc,0.03569096699357033
100,2,mlp_proj,0.17622986435890198
100,3,ln1,0.00047879136400297284
100,3,attn_qkv,0.024265330284833908
100,3,attn_proj,0.10540582984685898
100,3,ln2,0.0006428455817513168
100,3,mlp_fc,0.024654828011989594
100,3,mlp_proj,0.1251385509967804
100,4,ln1,0.0003344313590787351
100,4,attn_qkv,0.015595627948641777
100,4,attn_proj,0.07153203338384628
100,4,ln2,0.000501970702316612
100,4,mlp_fc,0.01893547736108303
100,4,mlp_proj,0.0957641527056694
100,5,ln1,0.0002678795426618308
100,5,attn_qkv,0.012705760076642036
100,5,attn_proj,0.05997379124164581
100,5,ln2,0.00042496927198953927
100,5,mlp_fc,0.016285663470625877
100,5,mlp_proj,0.08032746613025665
100,6,ln1,0.0002286056405864656
100,6,attn_qkv,0.011311108246445656
100,6,attn_proj,0.053715839982032776
100,6,ln2,0.00033168031950481236
100,6,mlp_fc,0.014390513300895691
100,6,mlp_proj,0.07110394537448883
100,7,ln1,0.0002144033060176298
100,7,attn_qkv,0.010849019512534142
100,7,attn_proj,0.05089978873729706
100,7,ln2,0.00030925608007237315
100,7,mlp_fc,0.013639042153954506
100,7,mlp_proj,0.06558074057102203
100,8,ln1,0.00020094546198379248
100,8,attn_qkv,0.009798661805689335
100,8,attn_proj,0.04822131246328354
100,8,ln2,0.00032344009377993643
100,8,mlp_fc,0.013078810647130013
100,8,mlp_proj,0.06467057764530182
100,9,ln1,0.0002192390529671684
100,9,attn_qkv,0.01063198409974575
100,9,attn_proj,0.050107892602682114
100,9,ln2,0.00032005616230890155
100,9,mlp_fc,0.013103723526000977
100,9,mlp_proj,0.06345518678426743
100,10,ln1,0.00020997729734517634
100,10,attn_qkv,0.010360009968280792
100,10,attn_proj,0.04862242192029953
100,10,ln2,0.00029242929304018617
100,10,mlp_fc,0.012754442170262337
100,10,mlp_proj,0.061765462160110474
100,11,ln1,0.00022569121210835874
100,11,attn_qkv,0.010674504563212395
100,11,attn_proj,0.05131112039089203
100,11,ln2,0.00030771008459851146
100,11,mlp_fc,0.012977167032659054
100,11,mlp_proj,0.062042564153671265
200,0,ln1,0.004369469825178385
200,0,attn_qkv,0.19829049706459045
200,0,attn_proj,0.5676350593566895
200,0,ln2,0.0032100980170071125
200,0,mlp_fc,0.10290490090847015
200,0,mlp_proj,0.6576905846595764
200,1,ln1,0.0010982805397361517
200,1,attn_qkv,0.059258248656988144
200,1,attn_proj,0.22104091942310333
200,1,ln2,0.00207717576995492
200,1,mlp_fc,0.07857833802700043
200,1,mlp_proj,0.41128748655319214
200,2,ln1,0.0007921239593997598
200,2,attn_qkv,0.037954576313495636
200,2,attn_proj,0.14632956683635712
200,2,ln2,0.0018775275675579906
200,2,mlp_fc,0.06758009642362595
200,2,mlp_proj,0.3515718877315521
200,3,ln1,0.0007038152543827891
200,3,attn_qkv,0.03318897634744644
200,3,attn_proj,0.12078139930963516
200,3,ln2,0.0016317532863467932
200,3,mlp_fc,0.05836170166730881
200,3,mlp_proj,0.31224220991134644
200,4,ln1,0.0005808771820738912
200,4,attn_qkv,0.028878910467028618
200,4,attn_proj,0.10234230756759644
200,4,ln2,0.0014291434781625867
200,4,mlp_fc,0.051497749984264374
200,4,mlp_proj,0.2850372791290283
200,5,ln1,0.0005476223304867744
200,5,attn_qkv,0.026122473180294037
200,5,attn_proj,0.09284932911396027
200,5,ln2,0.0012436187826097012
200,5,mlp_fc,0.045618973672389984
200,5,mlp_proj,0.2515754699707031
200,6,ln1,0.0004761804884765297
200,6,attn_qkv,0.02248311974108219
200,6,attn_proj,0.0892113447189331
200,6,ln2,0.0010672296630218625
200,6,mlp_fc,0.04147827625274658
200,6,mlp_proj,0.23209284245967865
200,7,ln1,0.0005012409528717399
200,7,attn_qkv,0.022605979815125465
200,7,attn_proj,0.08598602563142776
200,7,ln2,0.000917549361474812
200,7,mlp_fc,0.03707165643572807
200,7,mlp_proj,0.1990060955286026
200,8,ln1,0.0005695121362805367
200,8,attn_qkv,0.02293894812464714
200,8,attn_proj,0.08645078539848328
200,8,ln2,0.0009333267225883901
200,8,mlp_fc,0.03513927012681961
200,8,mlp_proj,0.1835278570652008
200,9,ln1,0.0006357017555274069
200,9,attn_qkv,0.02436293289065361
200,9,attn_proj,0.09060686826705933
200,9,ln2,0.0009324921411462128
200,9,mlp_fc,0.034432318061590195
200,9,mlp_proj,0.17115972936153412
200,10,ln1,0.0006535759894177318
200,10,attn_qkv,0.025580642744898796
200,10,attn_proj,0.10321154445409775
200,10,ln2,0.0009779700776562095
200,10,mlp_fc,0.03490527346730232
200,10,mlp_proj,0.16728949546813965
200,11,ln1,0.0009180110646411777
200,11,attn_qkv,0.03333602100610733
200,11,attn_proj,0.12969502806663513
200,11,ln2,0.0010735581163316965
200,11,mlp_fc,0.036944303661584854
200,11,mlp_proj,0.17143727838993073
0,0,ln1,0.010464204475283623
0,0,attn_qkv,0.5000830888748169
0,0,attn_proj,2.546193838119507
0,0,ln2,0.01136766467243433
0,0,mlp_fc,0.5618878602981567
0,0,mlp_proj,5.347331523895264
0,1,ln1,0.014756222255527973
0,1,attn_qkv,0.7133656144142151
0,1,attn_proj,3.5315921306610107
0,1,ln2,0.014655771665275097
0,1,mlp_fc,0.7187997698783875
0,1,mlp_proj,4.436742782592773
0,2,ln1,0.01308181881904602
0,2,attn_qkv,0.6680963039398193
0,2,attn_proj,3.3073368072509766
0,2,ln2,0.013005298562347889
0,2,mlp_fc,0.6874892115592957
