iter,sharpness_eq4
0,8.684309332527739e-05
0,8.684329286368417e-05
0,8.684296829862656e-05
0,8.684293679568773e-05
0,8.684302947240803e-05
0,8.68432564667671e-05
0,8.684302920614469e-05
0,8.684305398834768e-05
0,8.684301839023687e-05
0,8.684307506216256e-05
0,8.684319910522846e-05
0,8.684293706195107e-05
0,8.684309332527739e-05
0,8.68431634771419e-05
0,8.684303341677493e-05
0,8.684304426589254e-05
0,8.684310394103268e-05
0,0.00010267944441635071
0,0.00010267944441635071
0,8.684301839023687e-05
0,0.00010267944388382405
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944388382405
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944388382405
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944388382405
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264181652893946
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264160744031012
0,0.00010267944388382405
0,0.00010267944441635071
0,0.00010264154163319887
0,0.00010267944441635071
0,0.00010264181652893946
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264160744031012
0,0.00010267944441635071
0,0.00010264160744031012
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264181652893946
0,0.00010267944388382405
0,0.00010267944388382405
0,0.00010264181652893946
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264160744031012
0,0.00010264181652893946
0,0.00010267944388382405
0,0.00010264160744031012
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264181652893946
0,0.00010264160744031012
0,0.00010267944388382405
0,0.00010264154163319887
0,0.00010267944441635071
0,0.00010267944441635071
0,0.00010264160744031012
0,0.00010267944441635071
