step 0: train loss 10.9899, val loss 10.9894
iter 0: loss 11.0031, time 11535.85ms, mfu -100.00%
iter 10: loss 11.0014, time 154.54ms, mfu 108.92%
iter 20: loss 10.9879, time 154.85ms, mfu 108.90%
iter 30: loss 10.9666, time 154.52ms, mfu 108.90%
iter 40: loss 10.9564, time 154.73ms, mfu 108.89%
iter 50: loss 10.9303, time 154.71ms, mfu 108.88%
iter 60: loss 10.9012, time 154.94ms, mfu 108.86%
iter 70: loss 10.8797, time 154.46ms, mfu 108.87%
iter 80: loss 10.8533, time 155.28ms, mfu 108.82%
iter 90: loss 10.7934, time 154.64ms, mfu 108.82%
iter 100: loss 10.7883, time 154.73ms, mfu 108.82%
iter 110: loss 10.7086, time 154.62ms, mfu 108.82%
iter 120: loss 10.6727, time 155.43ms, mfu 108.77%
iter 130: loss 10.5980, time 155.06ms, mfu 108.75%
iter 140: loss 10.5374, time 155.61ms, mfu 108.69%
iter 150: loss 10.5129, time 155.19ms, mfu 108.67%
iter 160: loss 10.4211, time 155.23ms, mfu 108.65%
iter 170: loss 10.3925, time 154.66ms, mfu 108.66%
iter 180: loss 10.2582, time 155.35ms, mfu 108.63%
iter 190: loss 10.2104, time 155.15ms, mfu 108.62%
iter 200: loss 10.1892, time 155.00ms, mfu 108.62%
iter 210: loss 10.0464, time 155.91ms, mfu 108.55%
iter 220: loss 10.0216, time 155.25ms, mfu 108.54%
iter 230: loss 10.0042, time 155.69ms, mfu 108.50%
iter 240: loss 9.7902, time 155.33ms, mfu 108.48%
iter 250: loss 9.8705, time 155.08ms, mfu 108.49%
iter 260: loss 9.6454, time 155.85ms, mfu 108.44%
iter 270: loss 9.6090, time 155.09ms, mfu 108.45%
iter 280: loss 9.5168, time 155.93ms, mfu 108.40%
iter 290: loss 9.5200, time 155.08ms, mfu 108.41%
iter 300: loss 9.5435, time 155.42ms, mfu 108.40%
iter 310: loss 9.3194, time 155.49ms, mfu 108.39%
iter 320: loss 9.2582, time 155.41ms, mfu 108.38%
iter 330: loss 9.1745, time 155.72ms, mfu 108.35%
iter 340: loss 9.0866, time 155.32ms, mfu 108.35%
iter 350: loss 9.1131, time 155.25ms, mfu 108.36%
iter 360: loss 8.9754, time 156.03ms, mfu 108.31%
iter 370: loss 8.9278, time 155.80ms, mfu 108.28%
iter 380: loss 8.8635, time 155.87ms, mfu 108.25%
iter 390: loss 8.8547, time 155.02ms, mfu 108.29%
iter 400: loss 8.8947, time 154.82ms, mfu 108.33%
iter 410: loss 8.7865, time 155.24ms, mfu 108.34%
iter 420: loss 8.7492, time 156.06ms, mfu 108.29%
iter 430: loss 8.4342, time 155.50ms, mfu 108.29%
iter 440: loss 8.4989, time 155.77ms, mfu 108.27%
iter 450: loss 8.5702, time 155.15ms, mfu 108.29%
iter 460: loss 8.5154, time 155.69ms, mfu 108.27%
iter 470: loss 8.3880, time 155.99ms, mfu 108.23%
iter 480: loss 8.3930, time 156.29ms, mfu 108.18%
iter 490: loss 8.3617, time 156.02ms, mfu 108.15%
iter 500: loss 8.3027, time 154.99ms, mfu 108.20%
iter 510: loss 8.4302, time 156.10ms, mfu 108.16%
iter 520: loss 8.1181, time 155.59ms, mfu 108.16%
iter 530: loss 8.1927, time 155.36ms, mfu 108.18%
iter 540: loss 8.2375, time 155.23ms, mfu 108.21%
iter 550: loss 8.1147, time 156.32ms, mfu 108.15%
iter 560: loss 8.0214, time 155.05ms, mfu 108.19%
iter 570: loss 7.9193, time 155.45ms, mfu 108.20%
iter 580: loss 7.9159, time 156.13ms, mfu 108.16%
iter 590: loss 7.9534, time 155.10ms, mfu 108.20%
iter 600: loss 7.9399, time 155.51ms, mfu 108.20%
iter 610: loss 7.7669, time 155.61ms, mfu 108.20%
iter 620: loss 7.8214, time 155.96ms, mfu 108.17%
iter 630: loss 8.0940, time 155.79ms, mfu 108.16%
iter 640: loss 7.6222, time 155.41ms, mfu 108.18%
iter 650: loss 7.8128, time 156.23ms, mfu 108.13%
iter 660: loss 7.8453, time 156.07ms, mfu 108.10%
iter 670: loss 7.6037, time 155.11ms, mfu 108.15%
iter 680: loss 7.7209, time 156.65ms, mfu 108.08%
iter 690: loss 7.6027, time 155.38ms, mfu 108.10%
iter 700: loss 7.5749, time 156.64ms, mfu 108.04%
iter 710: loss 7.6254, time 155.55ms, mfu 108.06%
iter 720: loss 7.5557, time 156.03ms, mfu 108.04%
iter 730: loss 7.4378, time 156.02ms, mfu 108.02%
iter 740: loss 7.4736, time 155.66ms, mfu 108.03%
iter 750: loss 7.6580, time 155.47ms, mfu 108.06%
iter 760: loss 7.5730, time 155.17ms, mfu 108.10%
iter 770: loss 7.3351, time 156.53ms, mfu 108.04%
iter 780: loss 7.2470, time 155.25ms, mfu 108.08%
iter 790: loss 7.2371, time 155.54ms, mfu 108.09%
iter 800: loss 7.2869, time 156.34ms, mfu 108.05%
iter 810: loss 7.3375, time 155.54ms, mfu 108.07%
iter 820: loss 7.0911, time 156.24ms, mfu 108.04%
iter 830: loss 7.2738, time 155.88ms, mfu 108.03%
iter 840: loss 7.3319, time 156.76ms, mfu 107.96%
iter 850: loss 7.0656, time 155.79ms, mfu 107.97%
iter 860: loss 7.1573, time 155.93ms, mfu 107.97%
iter 870: loss 7.2310, time 155.20ms, mfu 108.02%
iter 880: loss 7.3330, time 156.00ms, mfu 108.01%
iter 890: loss 7.2339, time 155.43ms, mfu 108.04%
iter 900: loss 6.6680, time 155.37ms, mfu 108.07%
iter 910: loss 6.8731, time 155.62ms, mfu 108.08%
iter 920: loss 7.1369, time 155.73ms, mfu 108.08%
iter 930: loss 7.0826, time 156.37ms, mfu 108.03%
iter 940: loss 6.9036, time 155.34ms, mfu 108.07%
iter 950: loss 6.7842, time 155.71ms, mfu 108.07%
