step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9933, time 11671.88ms, mfu -100.00%
iter 10: loss 10.9789, time 154.52ms, mfu 108.93%
iter 20: loss 10.9765, time 155.07ms, mfu 108.89%
iter 30: loss 10.9694, time 154.62ms, mfu 108.89%
iter 40: loss 10.9552, time 154.14ms, mfu 108.92%
iter 50: loss 10.9345, time 155.01ms, mfu 108.89%
iter 60: loss 10.9069, time 155.41ms, mfu 108.83%
iter 70: loss 10.8631, time 154.83ms, mfu 108.82%
iter 80: loss 10.8574, time 155.47ms, mfu 108.76%
iter 90: loss 10.7946, time 154.44ms, mfu 108.79%
iter 100: loss 10.7622, time 154.86ms, mfu 108.78%
iter 110: loss 10.7399, time 155.16ms, mfu 108.75%
iter 120: loss 10.6741, time 154.82ms, mfu 108.75%
iter 130: loss 10.6118, time 155.88ms, mfu 108.67%
iter 140: loss 10.5406, time 155.69ms, mfu 108.61%
iter 150: loss 10.4950, time 155.12ms, mfu 108.60%
iter 160: loss 10.4503, time 154.87ms, mfu 108.61%
iter 170: loss 10.3774, time 155.02ms, mfu 108.61%
iter 180: loss 10.3124, time 155.35ms, mfu 108.58%
iter 190: loss 10.2437, time 155.41ms, mfu 108.56%
iter 200: loss 10.1735, time 155.51ms, mfu 108.52%
iter 210: loss 10.1110, time 155.40ms, mfu 108.50%
iter 220: loss 9.9486, time 154.87ms, mfu 108.52%
iter 230: loss 9.8994, time 155.07ms, mfu 108.52%
iter 240: loss 9.7735, time 155.79ms, mfu 108.48%
iter 250: loss 9.7901, time 155.60ms, mfu 108.45%
iter 260: loss 9.7274, time 156.37ms, mfu 108.37%
iter 270: loss 9.6280, time 156.30ms, mfu 108.30%
iter 280: loss 9.5947, time 155.93ms, mfu 108.27%
iter 290: loss 9.4313, time 155.11ms, mfu 108.29%
iter 300: loss 9.4050, time 155.47ms, mfu 108.29%
iter 310: loss 9.3833, time 155.34ms, mfu 108.30%
iter 320: loss 9.3216, time 155.77ms, mfu 108.27%
iter 330: loss 9.2877, time 155.74ms, mfu 108.25%
iter 340: loss 9.1509, time 155.58ms, mfu 108.25%
iter 350: loss 9.0679, time 155.59ms, mfu 108.24%
iter 360: loss 9.0664, time 155.79ms, mfu 108.22%
iter 370: loss 8.9622, time 156.38ms, mfu 108.16%
iter 380: loss 8.8542, time 155.19ms, mfu 108.19%
iter 390: loss 8.7415, time 155.35ms, mfu 108.21%
iter 400: loss 8.7900, time 155.81ms, mfu 108.19%
iter 410: loss 8.7324, time 155.72ms, mfu 108.18%
iter 420: loss 8.5228, time 155.61ms, mfu 108.18%
iter 430: loss 8.8923, time 155.55ms, mfu 108.18%
iter 440: loss 8.5266, time 156.19ms, mfu 108.14%
iter 450: loss 8.4468, time 156.06ms, mfu 108.11%
iter 460: loss 8.6957, time 155.86ms, mfu 108.10%
iter 470: loss 8.3181, time 155.68ms, mfu 108.10%
iter 480: loss 8.2934, time 155.62ms, mfu 108.11%
iter 490: loss 8.3013, time 156.67ms, mfu 108.04%
iter 500: loss 8.1176, time 155.60ms, mfu 108.06%
iter 510: loss 8.3751, time 155.07ms, mfu 108.10%
iter 520: loss 7.8615, time 155.59ms, mfu 108.11%
iter 530: loss 8.2014, time 155.83ms, mfu 108.10%
iter 540: loss 8.0849, time 156.57ms, mfu 108.04%
iter 550: loss 8.1316, time 155.64ms, mfu 108.05%
iter 560: loss 7.9643, time 155.45ms, mfu 108.08%
iter 570: loss 7.8829, time 156.32ms, mfu 108.04%
iter 580: loss 7.9013, time 155.12ms, mfu 108.08%
iter 590: loss 7.8931, time 155.12ms, mfu 108.13%
iter 600: loss 7.9595, time 155.39ms, mfu 108.15%
iter 610: loss 8.0238, time 155.49ms, mfu 108.16%
iter 620: loss 8.1362, time 155.23ms, mfu 108.18%
iter 630: loss 7.8137, time 155.25ms, mfu 108.21%
iter 640: loss 7.5288, time 155.88ms, mfu 108.19%
iter 650: loss 7.7829, time 155.28ms, mfu 108.21%
iter 660: loss 7.6126, time 155.30ms, mfu 108.23%
iter 670: loss 7.9032, time 156.20ms, mfu 108.18%
iter 680: loss 7.6972, time 155.96ms, mfu 108.15%
iter 690: loss 7.6596, time 156.81ms, mfu 108.07%
iter 700: loss 7.6864, time 156.01ms, mfu 108.06%
iter 710: loss 7.5462, time 155.57ms, mfu 108.07%
iter 720: loss 7.5212, time 155.83ms, mfu 108.06%
iter 730: loss 7.3947, time 157.17ms, mfu 107.97%
iter 740: loss 7.2981, time 155.78ms, mfu 107.98%
iter 750: loss 7.6345, time 155.19ms, mfu 108.02%
iter 760: loss 7.4945, time 155.90ms, mfu 108.02%
iter 770: loss 7.6991, time 156.18ms, mfu 108.00%
iter 780: loss 7.1376, time 156.37ms, mfu 107.96%
iter 790: loss 7.2419, time 155.38ms, mfu 108.00%
iter 800: loss 7.4481, time 156.07ms, mfu 107.98%
iter 810: loss 7.2513, time 155.65ms, mfu 108.00%
iter 820: loss 7.2158, time 156.48ms, mfu 107.96%
iter 830: loss 7.2450, time 155.76ms, mfu 107.97%
iter 840: loss 7.2601, time 155.86ms, mfu 107.97%
iter 850: loss 7.0933, time 155.67ms, mfu 107.99%
iter 860: loss 7.2199, time 155.59ms, mfu 108.01%
iter 870: loss 7.3289, time 156.05ms, mfu 107.99%
iter 880: loss 7.0621, time 156.29ms, mfu 107.96%
iter 890: loss 7.2215, time 155.77ms, mfu 107.97%
iter 900: loss 7.0304, time 156.22ms, mfu 107.95%
iter 910: loss 6.9529, time 155.39ms, mfu 107.99%
iter 920: loss 7.0534, time 155.18ms, mfu 108.04%
iter 930: loss 7.0786, time 155.40ms, mfu 108.06%
iter 940: loss 6.9090, time 156.86ms, mfu 107.99%
iter 950: loss 6.6752, time 155.58ms, mfu 108.01%
iter 960: loss 6.9215, time 155.93ms, mfu 108.00%
iter 970: loss 6.8661, time 155.87ms, mfu 108.00%
iter 980: loss 6.4656, time 155.37ms, mfu 108.03%
iter 990: loss 6.8817, time 155.36ms, mfu 108.07%
step 1000: train loss 6.8151, val loss 6.8209
saving checkpoint to out
iter 1000: loss 6.7128, time 4853.35ms, mfu 97.61%
iter 1010: loss 6.7156, time 154.82ms, mfu 98.72%
iter 1020: loss 6.8947, time 156.71ms, mfu 99.59%
iter 1030: loss 6.7330, time 155.09ms, mfu 100.48%
iter 1040: loss 6.6423, time 155.48ms, mfu 101.26%
iter 1050: loss 6.4355, time 155.48ms, mfu 101.96%
iter 1060: loss 6.7773, time 155.57ms, mfu 102.58%
iter 1070: loss 6.5299, time 155.20ms, mfu 103.17%
iter 1080: loss 6.5842, time 155.94ms, mfu 103.65%
iter 1090: loss 6.7446, time 155.75ms, mfu 104.09%
iter 1100: loss 6.5834, time 155.36ms, mfu 104.52%
iter 1110: loss 6.3973, time 155.75ms, mfu 104.87%
iter 1120: loss 6.6341, time 156.22ms, mfu 105.16%
iter 1130: loss 6.4687, time 156.09ms, mfu 105.43%
iter 1140: loss 6.5423, time 156.81ms, mfu 105.62%
iter 1150: loss 6.4332, time 155.85ms, mfu 105.86%
iter 1160: loss 6.3973, time 156.45ms, mfu 106.03%
iter 1170: loss 6.3137, time 156.12ms, mfu 106.21%
iter 1180: loss 6.5310, time 156.06ms, mfu 106.37%
iter 1190: loss 6.3032, time 155.27ms, mfu 106.58%
iter 1200: loss 6.4448, time 156.05ms, mfu 106.71%
iter 1210: loss 6.1788, time 155.83ms, mfu 106.84%
iter 1220: loss 6.3007, time 155.86ms, mfu 106.95%
iter 1230: loss 6.1392, time 155.62ms, mfu 107.07%
iter 1240: loss 6.2716, time 155.79ms, mfu 107.17%
iter 1250: loss 6.2448, time 155.63ms, mfu 107.27%
iter 1260: loss 6.1620, time 156.54ms, mfu 107.30%
iter 1270: loss 6.1661, time 156.64ms, mfu 107.31%
iter 1280: loss 6.1527, time 155.88ms, mfu 107.38%
iter 1290: loss 5.9417, time 155.74ms, mfu 107.45%
iter 1300: loss 6.1658, time 156.55ms, mfu 107.46%
iter 1310: loss 6.2409, time 156.22ms, mfu 107.49%
iter 1320: loss 5.9327, time 155.62ms, mfu 107.55%
iter 1330: loss 6.0255, time 156.07ms, mfu 107.58%
iter 1340: loss 6.1615, time 155.47ms, mfu 107.65%
iter 1350: loss 6.0575, time 155.54ms, mfu 107.71%
iter 1360: loss 5.9964, time 155.52ms, mfu 107.76%
iter 1370: loss 5.9238, time 155.91ms, mfu 107.78%
iter 1380: loss 6.0315, time 155.73ms, mfu 107.81%
iter 1390: loss 5.8777, time 156.43ms, mfu 107.79%
iter 1400: loss 5.7115, time 156.59ms, mfu 107.76%
iter 1410: loss 5.7717, time 156.03ms, mfu 107.77%
iter 1420: loss 5.8789, time 156.21ms, mfu 107.77%
iter 1430: loss 5.7036, time 155.28ms, mfu 107.83%
iter 1440: loss 5.7461, time 155.45ms, mfu 107.88%
iter 1450: loss 5.6807, time 155.75ms, mfu 107.90%
iter 1460: loss 5.9860, time 155.67ms, mfu 107.92%
iter 1470: loss 5.5244, time 155.85ms, mfu 107.93%
iter 1480: loss 5.6541, time 155.45ms, mfu 107.96%
iter 1490: loss 5.7046, time 155.56ms, mfu 107.99%
iter 1500: loss 5.5709, time 155.84ms, mfu 107.99%
iter 1510: loss 5.5298, time 156.53ms, mfu 107.95%
iter 1520: loss 5.5476, time 155.94ms, mfu 107.94%
iter 1530: loss 5.8370, time 155.88ms, mfu 107.95%
iter 1540: loss 5.5437, time 155.94ms, mfu 107.95%
iter 1550: loss 5.5217, time 155.59ms, mfu 107.97%
iter 1560: loss 5.5722, time 155.54ms, mfu 108.00%
iter 1570: loss 5.7614, time 156.41ms, mfu 107.96%
iter 1580: loss 5.4100, time 155.22ms, mfu 108.01%
iter 1590: loss 5.6825, time 155.83ms, mfu 108.01%
iter 1600: loss 5.5172, time 155.23ms, mfu 108.05%
iter 1610: loss 5.5397, time 155.74ms, mfu 108.05%
iter 1620: loss 5.4642, time 155.67ms, mfu 108.06%
iter 1630: loss 5.5335, time 156.71ms, mfu 108.00%
iter 1640: loss 5.4726, time 156.82ms, mfu 107.93%
iter 1650: loss 5.1580, time 156.28ms, mfu 107.91%
iter 1660: loss 5.4775, time 155.30ms, mfu 107.96%
iter 1670: loss 5.3624, time 156.09ms, mfu 107.94%
iter 1680: loss 5.2849, time 156.47ms, mfu 107.91%
iter 1690: loss 5.1564, time 155.74ms, mfu 107.92%
iter 1700: loss 5.1195, time 155.90ms, mfu 107.93%
iter 1710: loss 5.2268, time 157.24ms, mfu 107.84%
iter 1720: loss 5.2350, time 155.54ms, mfu 107.88%
iter 1730: loss 5.2174, time 155.37ms, mfu 107.92%
iter 1740: loss 5.3266, time 155.50ms, mfu 107.96%
