iter,block,layer_short,kappa
0,0,c_attn.weight,3.660929767992872
0,0,c_proj.weight,8939.532416929189
0,0,c_fc.weight,2.9056316761389502
0,0,c_proj.weight,2.9734328946209256
0,1,c_attn.weight,3.644469944743839
0,1,c_proj.weight,750.0301771374536
0,1,c_fc.weight,2.969543414572246
0,1,c_proj.weight,2.9799362027602507
0,2,c_attn.weight,3.593721683996834
0,2,c_proj.weight,423.17516069218647
0,2,c_fc.weight,2.976189967600289
0,2,c_proj.weight,2.9816893856110687
0,3,c_attn.weight,3.6621257214720706
0,3,c_proj.weight,2452.495567803477
0,3,c_fc.weight,2.9893027898023683
0,3,c_proj.weight,2.9556247478641944
0,4,c_attn.weight,3.65783926714166
0,4,c_proj.weight,6440.583153065448
0,4,c_fc.weight,2.9644816360972714
0,4,c_proj.weight,2.905009257804754
0,5,c_attn.weight,3.6048544377984166
0,5,c_proj.weight,6521.021252368428
0,5,c_fc.weight,2.9661111993843603
0,5,c_proj.weight,2.9503382800836033
100,0,c_attn.weight,8.703390639121192
100,0,c_proj.weight,1404.3729122661218
100,0,c_fc.weight,5.5124054281502985
100,0,c_proj.weight,12.496409092707136
100,1,c_attn.weight,7.275112255875927
100,1,c_proj.weight,1711.0386239031657
100,1,c_fc.weight,4.439407610526591
100,1,c_proj.weight,9.853303298501205
100,2,c_attn.weight,6.55943442232056
100,2,c_proj.weight,30941.180236595355
100,2,c_fc.weight,3.9865642104053687
100,2,c_proj.weight,9.01431174090546
100,3,c_attn.weight,6.7910846597774475
100,3,c_proj.weight,4365.601332820993
100,3,c_fc.weight,3.633819518303935
100,3,c_proj.weight,8.941317795422261
100,4,c_attn.weight,6.321135494732135
100,4,c_proj.weight,992.268049991826
100,4,c_fc.weight,3.5022782562737462
100,4,c_proj.weight,8.977300092506974
100,5,c_attn.weight,6.361289214909857
100,5,c_proj.weight,9923.814265567516
100,5,c_fc.weight,3.5444729516495785
100,5,c_proj.weight,9.158149634221921
200,0,c_attn.weight,10.87423529100015
200,0,c_proj.weight,3033.961341398996
200,0,c_fc.weight,6.439288195101493
200,0,c_proj.weight,14.604188584016146
200,1,c_attn.weight,11.054546265731302
200,1,c_proj.weight,28026.184817756995
200,1,c_fc.weight,5.339043634436805
200,1,c_proj.weight,14.415645043433269
200,2,c_attn.weight,11.359716329310237
200,2,c_proj.weight,7952.247533297073
200,2,c_fc.weight,4.885303623504258
200,2,c_proj.weight,12.76780851820465
200,3,c_attn.weight,10.647489707576282
200,3,c_proj.weight,1664.2261915232377
200,3,c_fc.weight,4.660185518247175
200,3,c_proj.weight,12.78989343017351
200,4,c_attn.weight,11.788020438611014
200,4,c_proj.weight,69658.68859258258
200,4,c_fc.weight,4.368566464129478
200,4,c_proj.weight,12.522320167024787
200,5,c_attn.weight,10.060808579574845
200,5,c_proj.weight,3250.8828953056236
200,5,c_fc.weight,4.2188514850707675
200,5,c_proj.weight,13.03284427031251
0,0,c_attn.weight,3.660929767992872
0,0,c_proj.weight,8939.532416929189
0,0,c_fc.weight,2.9056316761389502
0,0,c_proj.weight,2.9734328946209256
0,1,c_attn.weight,3.644469944743839
0,1,c_proj.weight,750.0301771374536
0,1,c_fc.weight,2.969543414572246
0,1,c_proj.weight,2.9799362027602507
0,2,c_attn.weight,3.593721683996834
0,2,c_proj.weight,423.17516069218647
0,2,c_fc.weight,2.976189967600289
0,2,c_proj.weight,2.9816893856110687
0,3,c_attn.weight,3.6621257214720706
0,3,c_proj.weight,2452.495567803477
0,3,c_fc.weight,2.9893027898023683
0,3,c_proj.weight,2.9556247478641944
0,4,c_attn.weight,3.65783926714166
0,4,c_proj.weight,6440.583153065448
0,4,c_fc.weight,2.9644816360972714
0,4,c_proj.weight,2.905009257804754
0,5,c_attn.weight,3.6048544377984166
0,5,c_proj.weight,6521.021252368428
0,5,c_fc.weight,2.9661111993843603
0,5,c_proj.weight,2.9503382800836033
100,0,c_attn.weight,7.501113537168614
100,0,c_proj.weight,1051.008696896671
100,0,c_fc.weight,4.965878356093323
100,0,c_proj.weight,10.705750129990275
100,1,c_attn.weight,6.9098545334417185
100,1,c_proj.weight,6824.269564332789
100,1,c_fc.weight,3.9737895322187895
100,1,c_proj.weight,9.104524438336995
100,2,c_attn.weight,6.015281396896274
100,2,c_proj.weight,2200.866871163689
100,2,c_fc.weight,3.6584595499768255
100,2,c_proj.weight,8.667701717342418
100,3,c_attn.weight,6.946508756715393
100,3,c_proj.weight,2534.717523349366
100,3,c_fc.weight,3.4638676473100185
100,3,c_proj.weight,8.439929938295329
100,4,c_attn.weight,6.424168560006592
100,4,c_proj.weight,8673.16957877168
100,4,c_fc.weight,3.2963391472498915
100,4,c_proj.weight,8.429800094858923
100,5,c_attn.weight,6.142387785475595
100,5,c_proj.weight,28476.527763525362
100,5,c_fc.weight,3.3837257912588132
100,5,c_proj.weight,8.651154948771934
200,0,c_attn.weight,10.414974278016787
200,0,c_proj.weight,1930.7833806364783
200,0,c_fc.weight,6.569422332686759
200,0,c_proj.weight,15.29170159744924
200,1,c_attn.weight,10.084114551683589
200,1,c_proj.weight,1398.7343947556803
200,1,c_fc.weight,5.337906531818654
200,1,c_proj.weight,14.23285508699564
200,2,c_attn.weight,9.150732659751302
200,2,c_proj.weight,11795.859101936609
200,2,c_fc.weight,4.719060716969589
200,2,c_proj.weight,12.674960522655574
200,3,c_attn.weight,10.46735628767976
200,3,c_proj.weight,23947.924574395776
200,3,c_fc.weight,4.540775111684947
200,3,c_proj.weight,12.977832893080853
200,4,c_attn.weight,10.045420388497337
200,4,c_proj.weight,4665.314527710788
200,4,c_fc.weight,4.31815305309383
200,4,c_proj.weight,12.655131706537393
200,5,c_attn.weight,8.825553300068643
200,5,c_proj.weight,2972.094146251586
200,5,c_fc.weight,4.315251715241329
200,5,c_proj.weight,13.190099080323508
0,0,c_attn.weight,3.660929767992872
0,0,c_proj.weight,8939.532416929189
0,0,c_fc.weight,2.9056316761389502
0,0,c_proj.weight,2.9734328946209256
0,1,c_attn.weight,3.644469944743839
0,1,c_proj.weight,750.0301771374536
0,1,c_fc.weight,2.969543414572246
0,1,c_proj.weight,2.9799362027602507
0,2,c_attn.weight,3.593721683996834
0,2,c_proj.weight,423.17516069218647
0,2,c_fc.weight,2.976189967600289
0,2,c_proj.weight,2.9816893856110687
0,3,c_attn.weight,3.6621257214720706
0,3,c_proj.weight,2452.495567803477
0,3,c_fc.weight,2.9893027898023683
0,3,c_proj.weight,2.9556247478641944
0,4,c_attn.weight,3.65783926714166
